DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2004-11,130.4,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2004-12,118.0,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2005-01,111.4,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2005-02,123.1,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2005-03,132.9,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2005-04,124.3,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2005-05,132.6,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2005-06,128.2,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2005-07,132.9,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2005-08,68.5,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2005-09,134.2,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2005-10,131.2,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2005-11,132.6,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2005-12,112.2,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2006-01,116.1,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2006-02,126.5,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2006-03,143.9,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2006-04,115.2,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2006-05,139.5,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2006-06,135.2,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2006-07,136.0,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2006-08,72.6,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2006-09,135.6,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2006-10,140.8,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2006-11,136.3,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2006-12,112.4,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2007-01,125.4,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2007-02,130.6,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2007-03,144.5,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2007-04,121.6,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2007-05,142.5,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2007-06,136.9,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2007-07,143.5,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2007-08,76.8,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2007-09,134.9,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2007-10,147.0,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2007-11,136.0,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2007-12,108.6,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2008-01,128.6,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2008-02,136.8,
ESTAT:STS_INPR_M(1.0),03/01/22 11:00:00,M,PROD,B-D,NSA,I15,IT,2008-03,134.6,
